,title,price,shop,commit
297,Python机器学习算法: 原理、实现与案例,65.60,清华大学出版社,7
298,Python 并行编程手册,56.10,电子工业出版社,700+
299,Python物理建模初学者指南,53.10,人民邮电出版社,400+
300,面向自然语言处理的深度学习：用Python创建神经网络,65.60,机械工业出版社,1.1万+
301,Python少儿趣味编程,65.60,人民邮电出版社,3
302,Keras快速上手：基于Python的深度学习实战,75.10,电子工业出版社,1.9万+
303,Python和NLTK自然语言处理,124.20,人民邮电出版社,400+
304,深入理解神经网络 从逻辑回归到CNN,74.50,人民邮电出版社,100+
305,Python语言程序设计,37.10,电子工业出版社,100+
306,人工智能极简编程入门（基于Python）,65.60,机械工业出版社,100+
307,Python趣味编程入门,44.10,人民邮电出版社,200+
308,Python应用开发实战,71.10,人民邮电出版社,300+
309,精通Python自然语言处理,53.10,人民邮电出版社,1100+
310,我的Python世界 玩《Minecraft我的世界》学Python编程,62.10,人民邮电出版社,400+
311,基于深度学习的自然语言处理+Python自然语言处理实战 套装共2册,131.10,机械工业出版社,1.1万+
312,Python金融大数据挖掘与分析+网络爬虫+数据挖掘与机器学习实战+量化交易实战+量化交易之路,300.00,书香神州图书专营店,90+
313,机器学习实战（python基础教程指南）,50.00,文轩网旗舰店,2400+
314,【套装3本】Python在机器学习中的应用+ 编程从零基础到项目实战+大数据分析基础及实战,119.20,华心图书专营店,30+
315,Python数据分析 第2版（影印版）,94.10,南京东南大学出版社,900+
316,大数据与人工智能技术丛书·Python机器学习：数据分析与评分卡建模（微课版）,46.60,清华大学出版社,400+
317,清华科技大讲堂：Python数据分析实战,37.10,清华大学出版社,200+
318,Python编程基础,32.50,人民邮电出版社,1600+
319,流畅的Python,100.80,文轩网旗舰店,500+
320,Python网络爬虫实战（第2版）,75.10,清华大学出版社,100+
321,少博士趣学Python,75.90,电子工业出版社,100+
322,Python数据挖掘与机器学习实战,75.10,机械工业出版社,100+
323,编程语言实现模式,68.40,华中科技大学出版社,1400+
324,Python强化学习实战：应用OpenAI Gym和TensorFlow精通强化学习和深度强化学习,65.60,机械工业出版社,2800+
325,Python核心编程 第3版 英文版,89.10,人民邮电出版社,700+
326,Python数据分析实战,48.20,人民邮电出版社,700+
327,Python项目案例开发从入门到实战——爬虫、游戏和机器学习20个项目案例600分钟精讲视频及源码,75.80,清华大学出版社,1100+
328,多元统计分析——R与Python的实现（基于R应用的统计学丛书）,35.80,中国人民大学出版社,200+
329,流利的Python语言（影印版 英文版）,112.10,南京东南大学出版社,2000+
330,树莓派+传感器：创建智能交互项目的实用方法、工具及最佳实践,46.60,机械工业出版社,1000+
331,Python与数据挖掘,46.60,机械工业出版社,2.9万+
332,Python与神经网络实战,75.10,电子工业出版社,2.3万+
333,Python和HDF 5大数据应用,35.10,人民邮电出版社,200+
334,Python从入门到实践 上下册 Python编程入门指南 零基础自学pytho基础到精通书籍,56.00,华研外语官方旗舰店,40+
335,Python机器学习基础教程,58.20,文轩网旗舰店,100+
336,强化学习与深度学习：通过C语言模拟,56.10,机械工业出版社,5000+
337,从AI模型到智能机器人：基于 Python与TensorFlow,75.10,电子工业出版社,20+
338,Python带我起飞 入门、进阶、商业实战,75.10,电子工业出版社,1.1万+
339,Python 3.7网络爬虫快速入门,46.60,清华大学出版社,6
340,Python数据分析从入门到精通,65.60,电子工业出版社,2.3万+
341,精通Python设计模式,36.80,人民邮电出版社,800+
342,爱上Raspberry Pi 第2版 树莓派编程快速入门手册,46.60,人民邮电出版社,4300+
343,跟老齐学Python：轻松入门,56.10,电子工业出版社,6400+
344,Python机器学习与量化投资,75.10,电子工业出版社,400+
345,Python+Tensorflow机器学习实战,69.10,清华大学出版社,9900+
346,"Python Cookbook(中文版,第3版)",78.30,文轩网旗舰店,800+
347,Python轻松学：爬虫、游戏与架站,56.10,清华大学出版社,10+
348,Python Qt GUI快速编程：PyQt编程指南,61.80,电子工业出版社,1800+
349,21天学通Python（第2版）,56.80,电子工业出版社,500+
350,机器学习即服务：将Python机器学习创意快速转变为云端Web应用程序,94.10,机械工业出版社,1.9万+
351,深入浅出深度学习：原理剖析与Python实践,75.10,电子工业出版社,7.7万+
352,神经网络与深度学习：基于TensorFlow框架和Python技术实现,47.30,电子工业出版社,100+
353,Python高效开发实战：Django、Tornado、Flask、Twisted,84.60,电子工业出版社,1.1万+
354,Python自然语言处理,75.10,机械工业出版社,300+
355,Python数据分析：基于Plotly的动态可视化绘图,75.10,电子工业出版社,1.9万+
356,Python开发实践教程/高等职业教育“十三五”规划教材,20.90,中国水利水电出版社,100+
357,实用机器学习,65.60,机械工业出版社,3600+
358,Python绝技：运用Python成为顶级数据工程师,75.10,电子工业出版社,2.7万+
359,跟孩子一起玩编程——Python编程快速入门,58.40,化学工业出版社,30+
360,基于Python的大数据分析基础及实战 Python编程,36.30,,50+
361,跟孩子一起玩编程——Python编程快速入门,58.40,化学工业出版社,30+
362,跟老齐学Python：Django实战,65.60,电子工业出版社,6400+
363,Selenium自动化测试 基于 Python 语言,44.10,人民邮电出版社,1400+
364,现货 流畅的Python 计算机编程语言 Python核心技术 编程思想,94.40,兴阅图书专营店,60+
365,Python从小白到大牛,58.30,文轩网旗舰店,100+
366,Python编程从入门到实践 基础教程 核心编程,57.80,,100+
367,Python深度学习,92.50,文轩网旗舰店,300+
368,教孩子学Python编程,94.10,清华大学出版社,5
369,轻松掌握BBC micro：bit上Python编程（全彩）,65.60,电子工业出版社,1.1万+
370,疯狂Python讲义 李刚编著 python从入门到精通  python核心技术网络爬虫书籍,56.60,润知天下图书专营店,200+
371,Python程序设计（第2版）/高等院校信息技术规划教材,42.90,清华大学出版社,700+
372,包邮 数据结构与算法：Python语言实现 计算机与互联网 |1016124,70.80,,100+
373,Python语言在Abaqus中的应用（附CD-ROM光盘1张）,31.70,机械工业出版社,7800+
374,Python网络爬虫权威指南 第2版,60.30,文轩网旗舰店,40+
375,Python编程：从数据分析到数据科学,64.60,电子工业出版社,1.9万+
376,机器人系统设计与制作：Python语言实现,56.10,机械工业出版社,5100+
377,Python程序设计,75.10,机械工业出版社,400+
